gun,sehir,seq,temettu,leg1,leg2,leg3,leg4,leg5,leg6
01/01/2021,IZMIR,1,29.54,182153,182164,182165,182161,182154,182166
01/01/2021,KOCAELI,1,198.1,182159,182155,182162,182160,182156,182168
02/01/2021,ADANA,2,12669.99,182194,182172,182200,182193,182173,182198
02/01/2021,ISTANBUL,1,323.59,182195,182182,182192,182197,182196,182189
03/01/2021,ADANA,1,444.55,182181,182179,182191,182185,182187,182183
03/01/2021,IZMIR,1,33.93,182178,182184,182176,182174,182180,182175
04/01/2021,BURSA,1,118.21,182207,182213,182208,182210,182212,182211
04/01/2021,SANLIURFA,1,14228.23,182204,182216,182217,182214,182205,182218
05/01/2021,ADANA,1,2834.31,182229,182222,182228,182230,182219,182225
05/01/2021,KOCAELI,1,265.51,182226,182227,182231,182224,182221,182220
06/01/2021,BURSA,1,49358.92,182245,182247,182233,182244,182239,182248
06/01/2021,ISTANBUL,1,261.65,182234,182240,182238,182237,182246,182243
07/01/2021,IZMIR,1,233.41,182255,182250,182256,182260,182254,182249
07/01/2021,SANLIURFA,1,540.68,182263,182262,182259,182251,182253,182261
08/01/2021,IZMIR,1,356.7,182269,182271,182266,182270,182267,182268
08/01/2021,KOCAELI,1,3253.37,182274,182273,182264,182275,182272,182277
09/01/2021,ADANA,2,9830.26,182305,182304,182306,182301,182284,182307
09/01/2021,ISTANBUL,1,3032.56,182295,182280,182300,182298,182281,182293
10/01/2021,ADANA,1,51.28,182312,182287,182309,182310,182308,182288
10/01/2021,IZMIR,2,264.26,182296,182299,182289,182286,182282,182294
11/01/2021,BURSA,1,1050.64,182324,182321,182314,182323,182322,182320
11/01/2021,SANLIURFA,1,406586.28,182330,182316,182329,182327,182318,182326
12/01/2021,ADANA,1,99401.26,182331,182338,182335,182339,182332,182340
12/01/2021,KOCAELI,1,1255.54,182342,182344,182343,182333,182337,182341
13/01/2021,BURSA,1,497.93,182354,182347,182350,182355,182348,182359
13/01/2021,ISTANBUL,1,384.08,182356,182358,182345,182353,182352,182360
14/01/2021,IZMIR,1,3108.74,182370,182361,182369,182367,182366,182368
14/01/2021,SANLIURFA,1,74155.66,182371,182365,182374,182375,182364,182372
15/01/2021,IZMIR,1,132.55,182386,182377,182389,182388,182378,182381
15/01/2021,KOCAELI,1,493.52,182380,182384,182383,182385,182382,182387
16/01/2021,ADANA,1,4416.92,182415,182417,182413,182411,182390,182416
16/01/2021,ISTANBUL,1,27215.78,182412,182406,182410,182403,182400,182414
17/01/2021,ADANA,1,2624.58,182407,182393,182408,182402,182392,182404
17/01/2021,IZMIR,1,3423.01,182395,182399,182405,182398,182397,182394
18/01/2021,SANLIURFA,1,3933.02,182422,182426,182420,182430,182427,182425
19/01/2021,ADANA,1,513.07,182439,182441,182437,182443,182440,182438
20/01/2021,ISTANBUL,1,187.43,182455,182451,182457,182454,182452,182460
21/01/2021,IZMIR,1,778.87,182472,182470,182469,182471,182467,182468
21/01/2021,SANLIURFA,1,572160.55,182474,182466,182475,182473,182464,182476
22/01/2021,IZMIR,1,850.03,182479,182492,182491,182487,182478,182490
22/01/2021,KOCAELI,1,71.14,182486,182481,182485,182482,182483,182480
23/01/2021,ADANA,1,3479.87,182524,182501,182523,182516,182502,182521
23/01/2021,ISTANBUL,1,122.83,182511,182496,182525,182507,182495,182510
24/01/2021,ADANA,1,126.58,182522,182497,182515,182520,182514,182519
24/01/2021,IZMIR,2,9176.17,182509,182517,182512,182513,182506,182493
25/01/2021,BURSA,1,489.9,182530,182526,182528,182529,182527,182532
25/01/2021,SANLIURFA,1,6385.66,182538,182537,182531,182536,182534,182533
26/01/2021,ADANA,1,13812.84,182544,182540,182547,182545,182539,182546
26/01/2021,KOCAELI,1,4466.5,182550,182549,182541,182542,182543,182551
27/01/2021,BURSA,1,39008.63,182560,182561,182562,182564,182559,182552
27/01/2021,ISTANBUL,2,2534.79,182565,182555,182566,182558,182554,182563
28/01/2021,IZMIR,1,2577.29,182571,182575,182574,182573,182572,182576
28/01/2021,SANLIURFA,1,58923.75,182570,182581,182578,182580,182568,182579
29/01/2021,IZMIR,1,275.87,182589,182586,182583,182590,182584,182582
29/01/2021,KOCAELI,1,154.69,182587,182594,182588,182585,182591,182595
30/01/2021,ADANA,2,553.63,182610,182596,182605,182608,182613,182611
30/01/2021,ISTANBUL,1,4442.84,182603,182619,182618,182604,182616,182607
31/01/2021,ADANA,1,3368.37,182627,182601,182626,182622,182600,182625
31/01/2021,IZMIR,2,5285.71,182624,182620,182623,182602,182598,182614
01/02/2021,BURSA,1,453.44,182661,182663,182649,182654,182650,182659
01/02/2021,SANLIURFA,1,136417.83,182653,182662,182651,182656,182657,182658
02/02/2021,ADANA,1,16375.15,182679,182668,182677,182675,182667,182683
02/02/2021,KOCAELI,1,3670.56,182671,182666,182673,182670,182669,182665
03/02/2021,BURSA,1,269.94,182689,182691,182688,182690,182685,182693
03/02/2021,ISTANBUL,1,853.21,182686,182699,182698,182694,182687,182696
04/02/2021,IZMIR,1,481.08,182707,182706,182710,182708,182711,182709
04/02/2021,SANLIURFA,1,108966.13,182705,182716,182715,182714,182704,182717
05/02/2021,IZMIR,1,7495.35,182720,182719,182718,182723,182729,182726
05/02/2021,KOCAELI,1,16055.04,182725,182727,182722,182721,182728,182724
