tarih,sehir,leg1,leg2,leg3,leg4,leg5,leg6,t6_div,t6_devir,t5_div,t5_devir,t4_div,t4_devir,t3_div,t3_devir
01/01/2021,IZMIR,182153,182164,182165,182161,182154,182166,29.54,,6.0,,1.89,,1.17,
01/01/2021,KOCAELI,182159,182155,182162,182160,182156,182168,198.1,,14.01,,9.8,,10.56,
02/01/2021,ADANA,182190,182171,182188,182199,182194,182172,2861.52,,195.28,,164.85,,166.11,
02/01/2021,ADANA,182194,182172,182200,182193,182173,182198,12669.99,,423.41,,341.64,,74.9,
02/01/2021,ISTANBUL,182195,182182,182192,182197,182196,182189,323.59,,86.27,,66.65,,17.38,
03/01/2021,ADANA,182181,182179,182191,182185,182187,182183,444.55,,143.91,,49.36,,37.17,
03/01/2021,IZMIR,182178,182184,182176,182174,182180,182175,33.93,,5.62,,0.97,,1.11,
04/01/2021,BURSA,182207,182213,182208,182210,182212,182211,118.21,,64.21,,7.82,,8.32,
04/01/2021,SANLIURFA,182204,182216,182217,182214,182205,182218,14228.23,,1598.93,,747.6,,52.16,
05/01/2021,ADANA,182229,182222,182228,182230,182219,182225,2834.31,,293.62,,120.38,,52.67,
05/01/2021,KOCAELI,182226,182227,182231,182224,182221,182220,265.51,,17.44,,4.54,,2.1,
06/01/2021,BURSA,182245,182247,182233,182244,182239,182248,49358.92,,6524.35,,2185.85,,82.81,
06/01/2021,ISTANBUL,182234,182240,182238,182237,182246,182243,261.65,,40.05,,7.81,,7.85,
07/01/2021,IZMIR,182255,182250,182256,182260,182254,182249,233.41,,69.44,,20.2,,15.08,
07/01/2021,SANLIURFA,182263,182262,182259,182251,182253,182261,540.68,,191.71,,117.74,,31.36,
08/01/2021,IZMIR,182269,182271,182266,182270,182267,182268,356.7,,47.93,,20.22,,21.8,
08/01/2021,KOCAELI,182274,182273,182264,182275,182272,182277,3253.37,,512.03,,211.55,,46.41,
09/01/2021,ADANA,182302,182285,182303,182305,182304,182306,3206.44,,291.74,,,,,
09/01/2021,ADANA,182305,182304,182306,182301,182284,182307,9830.26,,3812.91,,994.42,,68.13,
09/01/2021,ISTANBUL,182295,182280,182300,182298,182281,182293,3032.56,,964.55,,715.66,,218.03,
10/01/2021,ADANA,182312,182287,182309,182310,182308,182288,51.28,,9.27,,7.98,,2.08,
10/01/2021,IZMIR,182283,182297,182292,182296,182299,182289,538.34,,119.07,,,,,
10/01/2021,IZMIR,182296,182299,182289,182286,182282,182294,264.26,,50.15,,17.19,,7.45,
11/01/2021,BURSA,182324,182321,182314,182323,182322,182320,1050.64,,131.43,,39.16,,34.96,
11/01/2021,SANLIURFA,182330,182316,182329,182327,182318,182326,406586.28,,22155.48,,4952.64,,680.53,
12/01/2021,ADANA,182331,182338,182335,182339,182332,182340,99401.26,,9720.02,,1562.99,,480.26,
12/01/2021,KOCAELI,182342,182344,182343,182333,182337,182341,1255.54,,373.96,,34.34,,39.85,
13/01/2021,BURSA,182354,182347,182350,182355,182348,182359,497.93,,73.69,,83.76,,16.31,
13/01/2021,ISTANBUL,182356,182358,182345,182353,182352,182360,384.08,,100.8,,49.22,,15.31,
14/01/2021,IZMIR,182370,182361,182369,182367,182366,182368,3108.74,,307.17,,79.26,,19.15,
14/01/2021,SANLIURFA,182371,182365,182374,182375,182364,182372,74155.66,,9234.89,,3842.83,,166.91,
15/01/2021,IZMIR,182386,182377,182389,182388,182378,182381,132.55,,22.37,,14.85,,7.62,
15/01/2021,KOCAELI,182380,182384,182383,182385,182382,182387,493.52,,40.88,,14.1,,3.55,
16/01/2021,ADANA,182415,182417,182413,182411,182390,182416,4416.92,,587.54,,191.24,,10.58,
16/01/2021,ISTANBUL,182412,182406,182410,182403,182400,182414,27215.78,,1450.3,,338.67,,56.56,
17/01/2021,ADANA,182407,182393,182408,182402,182392,182404,2624.58,,472.4,,158.04,,137.98,
17/01/2021,IZMIR,182395,182399,182405,182398,182397,182394,3423.01,,222.56,,16.62,,6.48,
18/01/2021,SANLIURFA,182422,182426,182420,182430,182427,182425,3933.02,,966.38,,254.67,,62.42,
19/01/2021,ADANA,182439,182441,182437,182443,182440,182438,513.07,,111.55,,9.49,,5.0,
20/01/2021,ISTANBUL,182455,182451,182457,182454,182452,182460,187.43,,61.54,,26.83,,7.23,
21/01/2021,IZMIR,182472,182470,182469,182471,182467,182468,778.87,,91.74,,36.76,,10.81,
21/01/2021,SANLIURFA,182474,182466,182475,182473,182464,182476,572160.55,,26250.85,,12076.51,,225.08,
22/01/2021,IZMIR,182479,182492,182491,182487,182478,182490,850.03,,143.57,,14.98,,8.56,
22/01/2021,KOCAELI,182486,182481,182485,182482,182483,182480,71.14,,9.59,,1.99,,1.12,
23/01/2021,ADANA,182524,182501,182523,182516,182502,182521,3479.87,,186.03,,46.84,,6.8,
23/01/2021,ISTANBUL,182511,182496,182525,182507,182495,182510,122.83,,36.09,,10.37,,3.78,
24/01/2021,ADANA,182522,182497,182515,182520,182514,182519,126.58,,22.09,,3.6,,2.48,
24/01/2021,IZMIR,182494,182504,182508,182509,182517,182512,159.41,,138.73,,,,,
24/01/2021,IZMIR,182509,182517,182512,182513,182506,182493,9176.17,,379.4,,81.64,,25.35,
25/01/2021,BURSA,182530,182526,182528,182529,182527,182532,489.9,,76.6,,88.78,,66.01,
25/01/2021,SANLIURFA,182538,182537,182531,182536,182534,182533,6385.66,,521.51,,58.01,,15.33,
26/01/2021,ADANA,182544,182540,182547,182545,182539,182546,13812.84,,6139.25,,3043.66,,508.58,
26/01/2021,KOCAELI,182550,182549,182541,182542,182543,182551,4466.5,,617.34,,31.05,,9.5,
27/01/2021,BURSA,182560,182561,182562,182564,182559,182552,39008.63,,2754.18,,583.17,,49.12,
27/01/2021,ISTANBUL,182567,182556,182557,182565,182555,182566,195.66,,54.82,,,,,
27/01/2021,ISTANBUL,182565,182555,182566,182558,182554,182563,2534.79,,459.03,,212.48,,101.76,
28/01/2021,IZMIR,182571,182575,182574,182573,182572,182576,2577.29,,716.57,,255.25,,196.31,
28/01/2021,SANLIURFA,182570,182581,182578,182580,182568,182579,58923.75,,2540.93,,450.35,,94.93,
29/01/2021,IZMIR,182589,182586,182583,182590,182584,182582,275.87,,62.05,,23.39,,6.36,
29/01/2021,KOCAELI,182587,182594,182588,182585,182591,182595,154.69,,61.93,,39.39,,14.8,
30/01/2021,ADANA,182615,182597,182612,182610,182596,182605,6552.5,,395.48,,,,,
30/01/2021,ADANA,182610,182596,182605,182608,182613,182611,553.63,,50.62,,24.21,,17.22,
30/01/2021,ISTANBUL,182603,182619,182618,182604,182616,182607,4442.84,,324.11,,201.54,,83.12,
31/01/2021,ADANA,182627,182601,182626,182622,182600,182625,3368.37,,487.1,,339.3,,99.4,
31/01/2021,IZMIR,182599,182606,182609,182624,182620,182623,703.42,,328.99,,,,,
31/01/2021,IZMIR,182624,182620,182623,182602,182598,182614,5285.71,,516.16,,51.85,,21.73,
01/02/2021,BURSA,182661,182663,182649,182654,182650,182659,453.44,,137.82,,28.02,,7.61,
01/02/2021,SANLIURFA,182653,182662,182651,182656,182657,182658,136417.83,,1236.51,,438.76,,209.62,
02/02/2021,ADANA,182679,182668,182677,182675,182667,182683,16375.15,,2002.98,,518.33,,120.32,
02/02/2021,KOCAELI,182671,182666,182673,182670,182669,182665,3670.56,,282.49,,13.04,,3.57,
03/02/2021,BURSA,182689,182691,182688,182690,182685,182693,269.94,,64.75,,5.1,,1.2,
03/02/2021,ISTANBUL,182686,182699,182698,182694,182687,182696,853.21,,64.69,,52.76,,26.0,
04/02/2021,IZMIR,182707,182706,182710,182708,182711,182709,481.08,,132.99,,60.3,,45.98,
04/02/2021,SANLIURFA,182705,182716,182715,182714,182704,182717,108966.13,,3629.86,,519.23,,113.35,
05/02/2021,IZMIR,182720,182719,182718,182723,182729,182726,7495.35,,3343.55,,502.16,,107.38,
05/02/2021,KOCAELI,182725,182727,182722,182721,182728,182724,16055.04,,1984.27,,268.11,,55.11,
06/02/2021,ADANA,182734,182749,182753,182754,182733,182756,109471.29,,8996.07,,2358.94,,434.65,
06/02/2021,ADANA,182733,182756,182750,182752,182732,182751,10348.89,,222.94,,86.92,,48.31,
06/02/2021,ISTANBUL,182742,182730,182743,182746,182731,182739,1529.68,,90.88,,76.19,,39.06,
07/02/2021,ADANA,182759,182761,182757,182760,182755,182758,750.65,,172.47,,21.57,,2.83,
07/02/2021,IZMIR,182740,182744,182737,182735,182736,182748,323.19,,73.88,,21.23,,6.66,
08/02/2021,BURSA,182774,182773,182772,182770,182771,182775,2402.51,,697.19,,80.43,,13.15,
08/02/2021,SANLIURFA,182764,182767,182763,182766,182765,182768,14862.01,,9154.04,,2210.6,,408.91,
09/02/2021,ADANA,182786,182776,182783,182781,182777,182782,989.62,,29.28,,16.83,,12.41,
10/02/2021,BURSA,182803,182800,182794,182804,182797,182790,610.54,,99.58,,13.69,,5.66,
10/02/2021,ISTANBUL,182792,182798,182801,182799,182793,182795,155.16,,38.15,,,,,
10/02/2021,ISTANBUL,182799,182793,182795,182796,182791,182802,2177.84,,330.75,,79.4,,43.82,
11/02/2021,IZMIR,182811,182809,182812,182810,182807,182808,109.13,,16.78,,7.74,,3.83,
11/02/2021,SANLIURFA,182815,182813,182817,182816,182806,182814,5470.87,,2435.62,,518.64,,22.18,
12/02/2021,IZMIR,182825,182828,182826,182830,182822,182823,3485.41,,686.71,,91.92,,29.65,
12/02/2021,KOCAELI,182820,182831,182832,182824,182829,182821,84.26,,24.63,,7.05,,3.73,
13/02/2021,ADANA,182850,182846,182854,182857,182847,182859,40525.68,,4173.63,,208.62,,124.41,
13/02/2021,ISTANBUL,182866,182868,182870,182863,182865,182869,162.73,,26.46,,15.51,,2.78,
14/02/2021,ADANA,182844,182852,182860,182853,182845,182858,38632.16,,7859.02,,1868.99,,273.77,
14/02/2021,IZMIR,182848,182840,182842,182867,182861,182851,208.42,,78.98,,,,,
14/02/2021,IZMIR,182867,182861,182851,182855,182864,182841,1279.56,,174.36,,114.12,,48.31,
15/02/2021,BURSA,182891,182886,182888,182885,182882,182893,1784.38,,313.27,,115.8,,50.4,
15/02/2021,SANLIURFA,182880,182890,182881,182889,182884,182887,8725.53,,3592.84,,672.45,,99.05,
16/02/2021,ADANA,182902,182904,182895,182899,182900,182906,95.25,,34.47,,9.07,,6.2,
17/02/2021,BURSA,182922,182909,182921,182917,182919,182908,648.37,,114.74,,61.35,,12.32,
17/02/2021,ISTANBUL,182915,182913,182911,182916,182910,182912,87.8,,31.88,,24.06,,9.1,
18/02/2021,IZMIR,182928,182929,182933,182932,182926,182930,931.87,,49.89,,54.3,,56.9,
18/02/2021,SANLIURFA,182925,182936,182935,182937,182924,182934,2689.64,,604.2,,251.82,,22.23,
19/02/2021,IZMIR,182944,182945,182943,182942,182941,182940,41.54,,15.28,,7.95,,2.2,
19/02/2021,KOCAELI,182950,182947,182949,182946,182948,182951,150.77,,37.96,,42.46,,21.88,
20/02/2021,ADANA,182967,182990,182989,182995,182991,182994,103.34,,46.39,,,,,
20/02/2021,ADANA,182995,182991,182994,182993,182966,182992,112.57,,42.89,,11.88,,6.65,
20/02/2021,ISTANBUL,182985,182969,182980,182976,182984,182968,2065.11,,690.88,,673.93,,67.4,
21/02/2021,ADANA,182982,182988,182978,182986,182977,182981,775.83,,139.66,,43.56,,25.22,
21/02/2021,IZMIR,182979,182972,182971,182983,182974,182973,2027.46,,162.06,,85.02,,5.81,
22/02/2021,BURSA,182996,183004,182997,183005,183003,183002,1501.73,,261.71,,122.04,,39.26,
22/02/2021,SANLIURFA,183000,183008,183007,183010,182998,183006,31228.2,,16995.47,,7135.2,,1412.33,
23/02/2021,ADANA,183025,183014,183024,183017,183015,183020,381.0,,53.58,,21.84,,12.77,
23/02/2021,KOCAELI,183012,183023,183016,183019,183013,183027,21581.91,,3132.06,,279.15,,111.61,
24/02/2021,BURSA,183037,183032,183034,183035,183036,183040,6928.54,,483.01,,505.95,,125.03,
24/02/2021,ISTANBUL,183030,183033,183039,183042,183041,183028,9453.06,,2846.09,,1687.36,,470.96,
25/02/2021,IZMIR,183067,183061,183065,183066,183062,183069,2933.14,,308.25,,77.41,,27.82,
25/02/2021,SANLIURFA,183072,183063,183073,183071,183064,183074,143.31,,55.54,,33.09,,15.88,
26/02/2021,IZMIR,183097,183095,183103,183096,183100,183105,388.99,,72.42,,11.51,,8.58,
26/02/2021,KOCAELI,183094,183101,183098,183102,183093,183104,95.8,,36.61,,20.66,,16.52,
27/02/2021,ADANA,183155,183142,183153,183158,183157,183144,11371.04,,348.0,,154.59,,35.78,
27/02/2021,ISTANBUL,183166,183146,183150,183159,183152,183147,1699.24,,427.72,,,,,
27/02/2021,ISTANBUL,183159,183152,183147,183156,183162,183145,605.85,,154.89,,43.68,,26.75,
28/02/2021,ADANA,183167,183165,183164,183169,183163,183168,8371.12,,798.85,,52.56,,24.07,
28/02/2021,IZMIR,183151,183140,183149,183141,183171,183160,3794.08,,679.1,,,,,
28/02/2021,IZMIR,183141,183171,183160,183154,183148,183170,955.74,,130.73,,37.38,,22.65,
01/03/2021,BURSA,183210,183209,183195,183208,183196,183206,65.49,,16.26,,11.67,,8.01,
01/03/2021,SANLIURFA,183198,183203,183197,183204,183200,183202,10962.03,,2790.39,,1011.52,,313.22,
02/03/2021,ADANA,183219,183221,183211,183217,183222,183220,29964.92,,1955.48,,584.85,,133.75,
02/03/2021,KOCAELI,183216,183224,183223,183215,183213,183225,355.94,,83.31,,34.43,,8.17,
03/03/2021,BURSA,183239,183228,183236,183238,183237,183229,538.66,,86.4,,54.11,,3.48,
03/03/2021,ISTANBUL,183226,183233,183231,183232,183234,183240,748.63,,54.75,,10.62,,4.85,
04/03/2021,IZMIR,183280,183274,183271,183272,183276,183281,56.96,,14.95,,6.82,,2.28,
04/03/2021,SANLIURFA,183268,183277,183278,183279,183269,183275,65898.27,,7242.87,,1149.91,,209.83,
05/03/2021,IZMIR,183332,183333,183322,183321,183334,183329,214.57,,30.38,,7.29,,7.25,
05/03/2021,KOCAELI,183326,183337,183328,183324,183325,183336,126.24,,75.04,,19.01,,13.02,
06/03/2021,ADANA,183360,183396,183388,183391,183393,183399,2573.28,,454.47,,,,,
06/03/2021,ADANA,183391,183393,183399,183361,183398,183400,1595.66,,351.55,,122.68,,19.46,
06/03/2021,ISTANBUL,183377,183376,183383,183375,183379,183382,778.07,,112.14,,30.42,,10.8,
07/03/2021,ADANA,183394,183366,183389,183395,183365,183397,1924.32,,729.24,,,,,
07/03/2021,ADANA,183395,183365,183397,183390,183392,183364,91522.58,,7528.97,,1727.95,,395.05,
07/03/2021,IZMIR,183387,183385,183362,183378,183381,183384,1379.57,,44.88,,14.11,,9.21,
08/03/2021,BURSA,183434,183435,183422,183427,183428,183436,12001.3,,290.31,,22.53,,10.21,
08/03/2021,SANLIURFA,183429,183425,183433,183431,183424,183430,40428.23,,2592.29,,2099.52,,253.22,
09/03/2021,ADANA,183445,183449,183448,183444,183446,183443,688.18,,555.23,,168.78,,52.22,
09/03/2021,KOCAELI,183440,183437,183441,183442,183450,183438,7884.86,,1972.66,,392.54,,124.38,
10/03/2021,BURSA,183451,183457,183462,183458,183452,183459,133.67,,56.21,,28.62,,15.46,
10/03/2021,ISTANBUL,183454,183461,183465,183455,183453,183464,209.01,,113.73,,87.03,,33.36,
11/03/2021,IZMIR,183472,183469,183474,183473,183471,183475,3379.36,,502.92,,258.51,,57.43,
11/03/2021,SANLIURFA,183479,183478,183480,183476,183466,183477,6758.06,,1629.9,,225.32,,69.27,
12/03/2021,IZMIR,183496,183506,183493,183504,183503,183509,554.94,,132.47,,32.67,,25.78,
12/03/2021,KOCAELI,183500,183489,183502,183497,183498,183488,7312.73,,4112.56,,1460.55,,210.21,
13/03/2021,ADANA,183568,183542,183561,183560,183540,183570,769.44,,22.01,,10.69,,2.38,
13/03/2021,ADANA,183540,183570,183566,183564,183541,183567,202.72,,61.56,,48.43,,19.43,
13/03/2021,ISTANBUL,183558,183537,183551,183554,183536,183563,1318.39,,96.56,,60.18,,36.57,
14/03/2021,ADANA,183571,183569,183538,183557,183555,183559,214.43,,25.43,,10.98,,5.85,
14/03/2021,IZMIR,183556,183543,183548,183547,183565,183545,6042.41,,1020.73,,204.27,,121.01,
14/03/2021,IZMIR,183565,183545,183546,183550,183553,183544,10001.12,,1105.7,,65.33,,23.7,
15/03/2021,BURSA,183608,183610,183609,183606,183605,183611,768.16,,114.66,,42.27,,31.73,
15/03/2021,SANLIURFA,183607,183599,183603,183602,183600,183604,14149.36,,2004.11,,650.24,,118.83,
16/03/2021,ADANA,183617,183615,183625,183618,183614,183620,108.92,,117.78,,,,,
16/03/2021,ADANA,183618,183614,183620,183623,183622,183616,72140.89,,816.05,,512.42,,255.13,
16/03/2021,KOCAELI,183628,183627,183621,183624,183613,183626,1276.66,,59.42,,43.29,,15.15,
17/03/2021,BURSA,183643,183642,183629,183640,183630,183641,370.7,,56.8,,27.21,,16.2,
17/03/2021,ISTANBUL,183632,183639,183634,183638,183633,183637,2230.79,,149.15,,91.77,,40.92,
18/03/2021,IZMIR,183655,183648,183657,183656,183649,183654,23818.47,,563.14,,,,,
18/03/2021,IZMIR,183656,183649,183654,183653,183647,183658,1287.41,,124.37,,56.46,,13.22,
18/03/2021,SANLIURFA,183661,183650,183662,183663,183652,183660,14124.86,,562.22,,615.69,,44.45,
19/03/2021,IZMIR,183694,183683,183689,183687,183684,183695,1342.32,,138.11,,8.96,,8.45,
19/03/2021,KOCAELI,183692,183693,183686,183688,183691,183690,903.58,,53.83,,30.48,,15.98,
20/03/2021,ADANA,183761,183757,183760,183754,183759,183762,1931.83,,298.62,,212.91,,77.91,
20/03/2021,ISTANBUL,183740,183741,183744,183737,183738,183739,2882.01,,247.0,,191.53,,104.42,
21/03/2021,ADANA,183752,183751,183747,183748,183729,183749,278.21,,41.21,,10.23,,5.61,
21/03/2021,IZMIR,183726,183730,183727,183732,183743,183753,1246.74,,290.8,,,,,
21/03/2021,IZMIR,183732,183743,183753,183731,183736,183750,1700.31,,206.64,,77.01,,7.26,
22/03/2021,BURSA,183801,183800,183810,183802,183798,183809,1296.48,,151.65,,29.14,,22.27,
22/03/2021,SANLIURFA,183805,183803,183807,183808,183797,183806,399.35,,81.89,,8.27,,7.11,
23/03/2021,ADANA,183823,183824,183827,183825,183814,183822,2013.17,,277.25,,24.51,,14.03,
23/03/2021,KOCAELI,183819,183811,183821,183820,183812,183817,31.79,,10.83,,6.28,,,
24/03/2021,BURSA,183834,183828,183832,183839,183833,183837,483.5,,88.38,,90.92,,45.56,
24/03/2021,ISTANBUL,183831,183841,183840,183842,183830,183835,477.26,,53.63,,22.76,,2.67,
25/03/2021,IZMIR,183863,183865,183866,183857,183855,183864,84149.04,,7132.29,,757.38,,164.51,
25/03/2021,SANLIURFA,183852,183858,183856,183860,183853,183862,115530.59,,12353.52,,4098.51,,1078.01,
26/03/2021,IZMIR,183875,183882,183880,183877,183876,183874,20.54,,13.73,,1.53,,2.21,
26/03/2021,KOCAELI,183881,183883,183884,183879,183878,183885,1575.17,,78.15,,23.49,,21.73,
27/03/2021,ADANA,183940,183916,183932,183938,183917,183942,176.0,,81.66,,21.55,,11.33,
27/03/2021,ADANA,183917,183942,183933,183934,183918,183936,48835.92,,5358.23,,1193.32,,272.27,
27/03/2021,ISTANBUL,183911,183923,183927,183928,183913,183926,91.49,,15.68,,,,,
27/03/2021,ISTANBUL,183928,183913,183926,183924,183912,183930,601.88,,72.96,,37.48,,36.5,
28/03/2021,ADANA,183909,183943,183941,183935,183939,183944,281.43,,31.15,,9.95,,6.02,
28/03/2021,IZMIR,183919,183915,183925,183920,183931,183921,116.38,,37.89,,,,,
28/03/2021,IZMIR,183920,183931,183921,183929,183914,183922,36.44,,16.03,,3.94,,5.33,
29/03/2021,BURSA,183998,183987,183994,183993,183999,183986,1082.77,,157.14,,15.86,,15.66,
29/03/2021,SANLIURFA,183995,183991,183997,183990,183988,183992,43126.17,,5969.53,,1438.47,,99.51,
30/03/2021,ADANA,184000,184008,184012,184013,184009,184010,514.59,,132.35,,,,,
30/03/2021,ADANA,184013,184009,184010,184001,184014,184011,8182.32,,1058.63,,234.54,,35.12,
30/03/2021,KOCAELI,184002,184004,184006,184007,184005,184003,6873.14,,2208.09,,574.72,,217.83,
31/03/2021,BURSA,184024,184026,184025,184022,184023,184027,972802.42,,51012.58,,2611.2,,282.0,
31/03/2021,ISTANBUL,184020,184016,184021,184017,184015,184028,180178.2,,3099.51,,954.66,,244.26,
01/04/2021,IZMIR,184040,184043,184045,184044,184039,184049,672.95,,191.6,,172.17,,74.91,
01/04/2021,SANLIURFA,184048,184038,184046,184050,184036,184051,125.26,,50.29,,36.7,,8.7,
02/04/2021,IZMIR,184075,184069,184083,184081,184071,184084,325.71,,123.5,,,,,
02/04/2021,IZMIR,184081,184071,184084,184072,184070,184079,1126.05,,145.37,,143.51,,27.53,
02/04/2021,KOCAELI,184076,184067,184077,184073,184080,184082,2241.33,,50.03,,33.61,,25.95,
03/04/2021,ADANA,184114,184093,184110,184112,184115,184094,438.37,,39.14,,,,,
03/04/2021,ADANA,184112,184115,184094,184113,184095,184111,435391.77,,39891.34,,7269.91,,2067.85,
03/04/2021,ISTANBUL,184101,184098,184099,184097,184100,184096,224.93,,34.08,,14.22,,3.41,
04/04/2021,ADANA,184105,184106,184103,184104,184108,184109,226.6,,37.28,,4.02,,2.18,
04/04/2021,IZMIR,184122,184092,184118,184117,184120,184121,835.09,,92.63,,,,,
04/04/2021,IZMIR,184117,184120,184121,184116,184091,184119,79.41,,11.13,,6.42,,1.81,
05/04/2021,BURSA,184143,184149,184151,184154,184145,184158,4368.32,,747.43,,,,,
05/04/2021,BURSA,184154,184145,184158,184157,184144,184159,394.19,,104.05,,9.38,,7.9,
05/04/2021,SANLIURFA,184152,184146,184156,184153,184147,184155,9038.79,,1228.54,,1719.53,,366.43,
06/04/2021,ADANA,184162,184161,184168,184163,184166,184170,37297.58,,7689.08,,,,,
06/04/2021,ADANA,184163,184166,184170,184164,184172,184160,29538.72,,2177.28,,87.59,,49.83,
06/04/2021,KOCAELI,184165,184169,184171,184173,184167,184174,1236.11,,151.64,,19.58,,3.61,
07/04/2021,BURSA,184187,184176,184188,184185,184186,184189,28.27,,14.37,,10.47,,5.65,
07/04/2021,ISTANBUL,184178,184180,184181,184179,184177,184183,1052.45,,220.98,,38.52,,17.36,
08/04/2021,IZMIR,184211,184213,184212,184215,184219,184221,6526.76,,2418.51,,,,,
08/04/2021,IZMIR,184215,184219,184221,184210,184223,184220,23637.09,,2043.24,,273.48,,5.16,
08/04/2021,SANLIURFA,184209,184228,184232,184230,184208,184227,33791.95,,11461.32,,,,,
08/04/2021,SANLIURFA,184230,184208,184227,184231,184207,184229,350009.6,,21182.77,,9762.31,,573.02,
09/04/2021,IZMIR,184254,184261,184251,184256,184259,184262,1048.99,,349.7,,163.51,,71.13,
09/04/2021,KOCAELI,184255,184250,184263,184253,184264,184249,271.87,,41.1,,37.5,,3.61,
10/04/2021,ADANA,184285,184318,184319,184314,184286,184317,232.96,,120.68,,90.65,,48.02,
10/04/2021,ADANA,184286,184317,184315,184321,184287,184323,80.44,,10.3,,4.17,,,
10/04/2021,ISTANBUL,184299,184283,184307,184300,184302,184284,1701.31,,349.04,,285.35,,41.37,
11/04/2021,ADANA,184292,184320,184326,184324,184290,184322,264.79,,65.24,,,,,
11/04/2021,ADANA,184324,184290,184322,184316,184291,184325,1046.03,,231.69,,99.91,,3.67,
11/04/2021,IZMIR,184301,184297,184310,184289,184306,184309,8944.66,,1392.37,,,,,
11/04/2021,IZMIR,184289,184306,184309,184295,184312,184288,1158.61,,190.11,,61.53,,2.48,
12/04/2021,BURSA,184358,184351,184357,184361,184359,184367,6975.43,,550.76,,,,,
12/04/2021,BURSA,184361,184359,184367,184356,184352,184368,32398.91,,934.3,,238.88,,54.38,
12/04/2021,SANLIURFA,184366,184355,184364,184360,184354,184363,,488025.19,124573.32,,,,,
12/04/2021,SANLIURFA,184360,184354,184363,184365,184353,184362,427092.43,,60381.16,,2285.47,,339.7,
13/04/2021,ADANA,184373,184386,184385,184371,184389,184388,631.25,,110.91,,,,,
13/04/2021,ADANA,184371,184389,184388,184382,184372,184387,1108.8,,178.05,,19.87,,7.88,
13/04/2021,ANKARA,184370,184381,184378,184375,184380,184369,947.04,,145.05,,58.88,,22.63,
14/04/2021,ELAZIG,184390,184407,184408,184404,184406,184405,134456.83,,18713.91,,880.02,,107.18,
14/04/2021,ISTANBUL,184392,184398,184394,184397,184400,184396,1164.81,,69.05,,25.0,,12.06,
14/04/2021,ISTANBUL,184400,184396,184399,184395,184393,184403,3439.17,,1078.95,,218.92,,29.72,
15/04/2021,ANKARA,184419,184421,184422,184423,184428,184426,315.87,,82.65,,9.29,,2.53,
15/04/2021,IZMIR,184420,184416,184427,184418,184417,184430,11612.27,,1074.79,,345.52,,52.85,
16/04/2021,BURSA,184449,184461,184460,184458,184459,184465,2465.49,,322.89,,,,,
16/04/2021,BURSA,184458,184459,184465,184450,184468,184463,19134.97,,986.24,,349.05,,30.92,
16/04/2021,ISTANBUL,184447,184452,184457,184456,184448,184455,457.38,,79.27,,,,,
16/04/2021,ISTANBUL,184456,184448,184455,184453,184451,184454,2636.99,,458.2,,144.93,,44.78,
17/04/2021,ANKARA,184487,184478,184483,184480,184485,184479,91.36,,11.3,,7.59,,2.15,
17/04/2021,IZMIR,184488,184477,184482,184481,184502,184486,379.49,,164.49,,,,,
17/04/2021,IZMIR,184481,184502,184486,184476,184496,184497,19907.93,,2044.73,,533.66,,201.15,
