tarih,pist,seq,temettu,devir,kazanan_kombo
2026-07-20,BURSA,1,31049.75,,"7,11/1/6,8/4/1/2"
2026-07-20,BURSA,2,8622362.25,,1/2/6/3/14/4
2026-07-21,ANKARA,1,138114.12,,"8/1,2/3/8/5/3"
2026-07-21,ANKARA,2,108257.62,,8/5/3/1/6/6
2026-07-22,ISTANBUL,1,11198.25,,9/2/5/1/5/8
2026-07-22,ISTANBUL,2,2678.43,,5/1/5/8/2/10
2026-07-23,ANKARA,1,19167.87,,4/3/1/3/7/1
2026-07-23,ANKARA,2,17934.5,,1/3/7/1/2/5
2026-07-23,KOCAELI,1,15270.12,,3/1/3/9/3/5
2026-07-23,KOCAELI,2,11762.56,,3/9/3/5/2/10
2026-07-24,BURSA,1,118772.31,,1/9/13/5/6/6
2026-07-24,BURSA,2,56796.5,,6/1/5/3/3/8
2026-07-24,ISTANBUL,1,1421.37,,"13/5/3/2,4/9/2,7"
2026-07-24,ISTANBUL,2,2220.87,,"9/2,7/3/6/1,2/2"
2026-07-25,ANKARA,1,75313.25,,11/6/5/2/3/4
2026-07-25,IZMIR,1,2644.75,,"10/7,8/2/2/4/2"
2026-07-26,ISTANBUL,1,31968.62,,"6/1/1,4/7/5,6/3"
2026-07-26,ISTANBUL,2,21007.25,,"5,6/3/10/9/3/3"
2026-07-26,IZMIR,1,36327.12,,2/14/2/5/2/7
2026-07-27,BURSA,1,2731.0,,"6/1/2/3,5/5/13"
2026-07-27,BURSA,2,51322.93,,"5/13/1,2/5/2/16"
2026-07-28,ANKARA,1,1592.75,,"1,2/5/6/6/2/6"
2026-07-28,ANKARA,2,1213.75,,6/6/2/6/4/5
2026-07-28,KOCAELI,1,2975.31,,3/4/1/10/7/2
2026-07-28,KOCAELI,2,11093.93,,10/7/2/2/3/4
2026-07-29,ISTANBUL,1,12983.18,,2/6/3/3/6/1
2026-07-29,ISTANBUL,2,16589.56,,"3/3/6/1/6,9/6"
2026-07-30,ANKARA,1,6721.43,,8/6/6/3/1/8
2026-07-30,ANKARA,2,498081.5,,3/1/8/6/6/8
2026-07-30,KOCAELI,1,102131.0,,6/11/1/4/3/6
2026-07-30,KOCAELI,2,25788.37,,"3/6/3,4/7/1/11"
2026-07-31,BURSA,1,244059.5,,5/5/5/2/15/14
2026-07-31,BURSA,2,1302968.43,,"15/14/2/5/8,15/12"
2026-07-31,ISTANBUL,1,15626.62,,5/2/3/8/5/1
2026-07-31,ISTANBUL,2,81736.93,,3/8/5/1/3/10
2026-08-01,ANKARA,1,17022.56,,"1,6/2/8/2/4/4"
2026-08-01,ANKARA,2,2753.0,,2/4/4/1/4/4
2026-08-01,IZMIR,1,740132.0,,"3/9/4,7,8/3/8/2"
2026-08-01,IZMIR,2,46045.06,,"4,7,8/3/8/2/6/5"
2026-08-02,ISTANBUL,1,16998.31,,"8/3/8/7,10/6/5,13"
2026-08-02,ISTANBUL,2,324330.56,,"6/5,13/8/7/1,3/2"
2026-08-02,IZMIR,1,237270.25,,1/1/1/8/3/5
2026-08-03,BURSA,1,19283.18,,"1,7/4/1/7/2/9"
2026-08-03,BURSA,2,3527.5,,"7/2/9/1,2,7/1,8,10/3"
2026-08-04,ANKARA,1,5675.06,,"8/5,7/1,4/2/1/1"
2026-08-04,ANKARA,2,80613.25,,"1,4/2/1/1/9/13"
2026-08-04,KOCAELI,1,51676.56,,6/5/4/6/8/2
2026-08-04,KOCAELI,2,21054.62,,6/8/2/2/4/8
2026-08-05,ISTANBUL,1,1551330.93,,9/3/3/3/2/1
2026-08-05,ISTANBUL,2,31382.68,,3/2/1/3/1/5
2026-08-06,ANKARA,1,3883.12,,7/3/2/4/8/1
2026-08-06,ANKARA,2,7862.43,,"2/4/8/1/5/10,11"
2026-08-06,KOCAELI,1,342486.56,,2/1/5/7/2/6
2026-08-06,KOCAELI,2,595767.12,,5/7/2/6/5/2
2026-08-07,BURSA,1,2581.87,,5/8/5/3/2/5
2026-08-07,BURSA,2,106310.25,,2/5/7/2/2/9
2026-08-07,ISTANBUL,1,10900.81,,4/3/4/15/1/4
2026-08-07,ISTANBUL,2,1453.18,,"15/1/4/1,3/1/16"
2026-08-08,ANKARA,1,1959.81,,"3/3/5,13/5/1,7,8/3"
2026-08-08,ANKARA,2,38485.5,,"5,13/5/1,7,8/3/5/12"
2026-08-08,IZMIR,1,84631.18,,"1/3/8,9/2/3/6"
2026-08-08,IZMIR,2,304452.0,,"8,9/2/3/6/2/2"
2026-08-09,ISTANBUL,1,4732.18,,"5/6/10,12/9/1/1"
2026-08-09,ISTANBUL,2,56731.68,,"10,12/9/1/1/1/5"
2026-08-09,IZMIR,1,10680.06,,"2/2/3/3,5/1/2"
2026-08-09,IZMIR,2,5946.18,,"3/3,5/1/2/8/1,10"
2026-08-10,BURSA,1,85493.81,,"3/1,12/1/6/9,10/7,12"
2026-08-10,BURSA,2,54949.56,,"9,10/7,12/3/6/19/2"
2026-08-11,ANKARA,1,8257.06,,6/7/7/9/3/5
2026-08-11,ANKARA,2,8846.18,,9/3/5/3/9/4
2026-08-11,KOCAELI,1,99158.43,,"2/4/5/5/5/4,9"
2026-08-11,KOCAELI,2,149063.37,,"5/5/4,9/3/1/10"
2026-08-12,ISTANBUL,1,26788.18,,"6/12/3/1/5/1,4"
2026-08-12,ISTANBUL,2,76630.5,,"5/1,4/6/3/3/5"
2026-08-13,ANKARA,1,557761.43,,"3/2,3/6/5/6/2"
2026-08-13,ANKARA,2,62516.43,,"5/6/2/2,3,5/8/1"
2026-08-13,KOCAELI,1,37034.0,,5/8/1/4/7/2
2026-08-13,KOCAELI,2,1219517.25,,4/7/2/6/3/11
2026-08-14,BURSA,1,11213.06,,"1,2,7,9/7/3/5/2/10"
2026-08-14,BURSA,2,9383.68,,2/10/2/4/10/4
2026-08-14,ISTANBUL,1,390206.0,,"1/1/12/3,7/3/4"
2026-08-14,ISTANBUL,2,2780891.37,,"12/3,7/3/4/7/8"
2026-08-15,ANKARA,1,9529.68,,"2,4,7/6/1/10/1/2"
2026-08-15,ANKARA,2,5570.18,,10/1/2/5/6/1
2026-08-15,IZMIR,1,34842.0,,"10/2/5,6/9/5/3,4"
2026-08-15,IZMIR,2,9476.5,,"5,6/9/5/3,4/2,3,10/7,13"
2026-08-16,ISTANBUL,1,18575.43,,5/1/8/4/2/1
2026-08-16,ISTANBUL,2,8551.75,,2/1/5/1/6/10
2026-08-16,IZMIR,1,3239.56,,"5/3,4/2/4/5/2"
2026-08-16,IZMIR,2,9999.43,,2/4/5/2/3/1
2026-08-17,BURSA,1,14107.75,,5/5/2/5/3/8
2026-08-17,BURSA,2,43008.25,,8/6/2/4/8/19
2026-08-18,ANKARA,1,33451.18,,"8/4/8/1/6/5,6"
2026-08-18,ANKARA,2,9701.75,,"8/1/6/5,6/2/3"
2026-08-18,KOCAELI,1,121729.37,,"6/1,4/12/7/5/4"
2026-08-18,KOCAELI,2,135209.18,,12/7/5/4/3/6
2026-08-19,ISTANBUL,1,90395.0,,7/1/11/11/5/9
2026-08-19,ISTANBUL,2,272186.93,,11/11/5/9/5/7
2026-08-20,ANKARA,1,1455825.75,,6/7/7/3/5/6
2026-08-20,ANKARA,2,9635.31,,"7/3/5/6/5/9,14,15"
2026-08-20,KOCAELI,1,1542.68,,"2/9/1,3/5,13/12/3,5"
2026-08-20,KOCAELI,2,1956.18,,"5,13/12/3,5/1/6/1,4"
2026-08-21,BURSA,1,2629.62,,7/3/6/1/2/11
2026-08-21,BURSA,2,33757.68,,"11/6/1/6/2,12/8,9"
2026-08-21,ISTANBUL,1,7892.56,,"7/1,2,7/7/5/1/6"
2026-08-21,ISTANBUL,2,31378.37,,"1/6/2/2/7,9/12"
2026-08-22,ANKARA,1,2390.31,,7/7/5/3/7/1
2026-08-22,IZMIR,1,8977.31,,"6/7/2,8/2/6/1,11"
2026-08-23,ISTANBUL,1,25697.31,,"2/1/2,3/4/6/1"
2026-08-23,ISTANBUL,2,281575.75,,4/6/1/4/7/8
2026-08-23,IZMIR,1,720605.12,,5/2/10/2/7/15
2026-08-24,BURSA,1,8203.37,,"6,11/4/3/6/3/1,4"
2026-08-24,BURSA,2,365632.75,,"3/1,4/4/4/7/8"
2026-08-25,ANKARA,1,1397.68,,"12/4/2/4/10/2,6"
2026-08-25,ANKARA,2,2076.75,,"4/10/2,6/1,3/6/5"
