AntrenorAdi,KosuAdet,derece1,derece2,derece3,derece4,derece5,derece1yuzde,derece2yuzde,derece3yuzde,derece4yuzde,derece5yuzde
İBRAHİM BEKİROĞULLARI,5715,1144,880,715,645,565,20,15,13,11,10
ŞEFİK AYDEMİR,4268,620,510,471,477,442,15,12,11,11,10
KAZIM YILDIZ,6865,590,603,575,670,693,9,9,8,10,10
SERDAR VEYSEL KAYA,5989,570,603,560,570,564,10,10,9,10,9
ADEM GÜVEN,4955,550,523,577,505,504,11,11,12,10,10
AHMET AKBULUT,4065,546,496,492,435,398,13,12,12,11,10
ABDULLAH TEMİZER,5994,533,589,541,494,548,9,10,9,8,9
CUMA DEMİR,3751,527,497,450,443,370,14,13,12,12,10
MEHMET KAYA,5520,503,546,561,578,554,9,10,10,10,10
KAMİL ARDA,3226,491,398,361,347,325,15,12,11,11,10
SABRİ ARSLAN,4561,483,475,453,515,415,11,10,10,11,9
AHMET ELÇİN KARAKURT,4669,472,464,459,474,462,10,10,10,10,10
HAKAN YÜZBAŞI,2963,464,420,342,331,290,16,14,12,11,10
AHMET ÖCAL,4615,455,444,476,482,444,10,10,10,10,10
HAKAN CANSU,5825,446,486,525,523,563,8,8,9,9,10
MURAT TÜRKOĞLU,6328,445,462,550,588,602,7,7,9,9,10
CASIM KATI,4506,445,479,515,530,495,10,11,11,12,11
MEHMET ARSLAN,4311,429,450,446,419,430,10,10,10,10,10
ADİL YILMAZ,2826,428,372,311,301,234,15,13,11,11,8
RAMAZAN TAŞDELEN,3283,426,371,396,364,341,13,11,12,11,10
NURULLAH GÜVEN,4561,414,443,436,447,439,9,10,10,10,10
ÜMİT ARSLAN,3321,407,383,345,352,334,12,12,10,11,10
BAHATTİN DAĞ,2519,405,320,295,250,264,16,13,12,10,10
EMİN KARATAŞ,2761,399,338,325,300,296,14,12,12,11,11
ALPER CİĞER,2934,396,336,302,349,291,13,11,10,12,10
AYTEKİN COŞKAN,2732,396,332,339,297,257,14,12,12,11,9
FATİH EMİR AKIL,3781,391,335,369,345,318,10,9,10,9,8
HÜSEYİN KARATAŞ,3310,388,369,341,329,321,12,11,10,10,10
ALİCAN ÖKSÜZLER,3686,386,360,377,350,367,10,10,10,9,10
YAŞAR DEMİR,3526,385,381,395,349,360,11,11,11,10,10
ALİ RIZA AYDIN,4416,382,418,405,417,413,9,9,9,9,9
SAİT ÇELİK,4476,378,386,398,386,411,8,9,9,9,9
DURAN TEKELİ,3735,377,343,369,360,339,10,9,10,10,9
AZİZ BOZKURT,4065,370,383,367,376,400,9,9,9,9,10
İBRAHİM ÇAK,2670,361,344,293,265,288,14,13,11,10,11
ERDAL ÇEŞME,4957,361,388,426,483,553,7,8,9,10,11
YASİN DEMİRKIRAN,2704,359,359,337,284,277,13,13,12,11,10
RASİM TETİK,3249,355,392,332,357,328,11,12,10,11,10
NİHAT KAYA,3695,354,354,391,363,384,10,10,11,10,10
MELİH MEHMET İNAL,3682,352,380,332,346,364,10,10,9,9,10
VEDAT ÖNDER,3721,352,367,374,369,372,9,10,10,10,10
GÖKHAN BALTA,4079,350,332,377,345,347,9,8,9,8,9
RAMAZAN COŞKUN,4406,348,380,424,420,459,8,9,10,10,10
CUMA ÇİÇEK,2869,347,322,326,284,262,12,11,11,10,9
AYKUT ECEVİT BAŞ,3727,344,352,384,387,419,9,9,10,10,11
TAHİR KURT,2947,335,316,347,301,293,11,11,12,10,10
ABDULHAMİT YARDIMCI,4455,332,356,376,412,397,7,8,8,9,9
ERHAN DIBLEN,2656,332,243,260,255,269,12,9,10,10,10
MEHMET ÖCAL,3811,328,323,369,342,359,9,8,10,9,9
KEMAL DEMİR,2339,325,306,245,262,210,14,13,10,11,9
SELÇUK TAŞBEK,2309,312,289,267,272,264,14,13,12,12,11
SABAHATTİN KONUK,4076,295,307,316,334,347,7,8,8,8,9
HASAN ALTUNBAŞ,2937,291,266,283,317,288,10,9,10,11,10
SABRİ BEKTAŞ,2562,287,277,289,293,256,11,11,11,11,10
SABİT EREN,2001,282,253,234,226,187,14,13,12,11,9
ABDULGAFAR TOPRAK,3521,275,318,300,282,329,8,9,9,8,9
ÜMÜT BULUT,2388,262,243,238,242,226,11,10,10,10,9
ABDULLAH ÇİFTÇİ,2330,256,255,268,278,250,11,11,12,12,11
MAHMUT BAYKARA,2473,252,272,303,263,299,10,11,12,11,12
BEDRİ AKBULUT,1785,246,215,232,182,199,14,12,13,10,11
SİBEL AKCI,2879,245,215,221,259,277,9,7,8,9,10
BAVER FAHRİOĞLU,2439,245,228,240,251,232,10,9,10,10,10
ALİ BOZKURT,2484,242,234,266,259,226,10,9,11,10,9
BATUHAN TURGUL,1802,242,230,243,200,195,13,13,13,11,11
ÜMÜT BÖLEK,2792,238,252,257,247,272,9,9,9,9,10
İBRAHİM HALİL BAYDAN,2555,235,256,263,278,268,9,10,10,11,10
VELİ AKBULUT,1495,234,256,186,168,143,16,17,12,11,10
ALPER TEPEBAŞI,1239,234,215,162,157,118,19,17,13,13,10
MEHMET SEMİR TAŞBEK,1353,232,163,163,134,124,17,12,12,10,9
BAŞOL ÖZGÜR,3559,227,290,315,341,321,6,8,9,10,9
BAHAR GÖK,2314,227,197,227,218,238,10,9,10,9,10
HAKAN HARMANBAŞI,2071,221,198,201,224,212,11,10,10,11,10
MEHMET ALİ SUBAY,1945,218,213,194,192,189,11,11,10,10,10
SABAHATTİN TEKDOĞAN,1950,217,210,188,191,182,11,11,10,10,9
FETHİ AHMET YEŞİLBUDAK,2238,206,192,198,218,222,9,9,9,10,10
MEHMET AKBULUT,1458,204,189,178,157,144,14,13,12,11,10
BURAK AKYOL,2763,200,220,264,273,277,7,8,10,10,10
TURGUT İBİŞ,1498,196,191,179,177,157,13,13,12,12,10
MEHMET BULUT,1574,193,158,175,160,161,12,10,11,10,10
MESUT BATMAN,2201,190,194,201,226,207,9,9,9,10,9
ENGİN BEKİROĞULLARI,1572,187,137,141,129,146,12,9,9,8,9
İBRAHİM ESER,1755,186,172,183,180,172,11,10,10,10,10
BEGÜM GÜL,1310,186,159,133,151,145,14,12,10,12,11
BEYDA TANRIKULU,1996,177,186,229,235,205,9,9,11,12,10
HACİ ALTUNBAŞ,1631,175,189,181,179,163,11,12,11,11,10
ABDULKADİR GÜRGÖZE,2285,174,178,183,173,181,8,8,8,8,8
HASAN BAĞDAN,2042,172,188,176,186,165,8,9,9,9,8
BÜLENT ONARIR,1636,170,203,153,166,157,10,12,9,10,10
CENGİZ TEKİN KÖSE,5561,428,461,562,589,604,8,8,10,11,11
YAŞAR ARSLANCA,2991,322,308,324,322,303,11,10,11,11,10
MEHMET YÜCEDAĞ,4061,302,349,384,371,355,7,9,9,9,9
MUHARREM CAN,2370,297,264,223,230,199,13,11,9,10,8
CENGİZ AYDOĞAN,2977,296,305,309,269,266,10,10,10,9,9
CEMİL TURAN,2708,286,288,275,261,274,11,11,10,10,10
EYYÜP YARDIMCI,2554,283,315,293,299,250,11,12,11,12,10
CUMA YILDIRIM,2379,272,255,240,225,225,11,11,10,9,9
CUMA GÜNEŞ,2431,264,272,263,262,228,11,11,11,11,9
MÜCAHİT KAYA,1723,264,221,227,211,188,15,13,13,12,11
AHMET EMİN AVCI,1984,262,187,184,178,166,13,9,9,9,8
MUHİTTİN ACAR,3010,261,308,319,304,299,9,10,11,10,10
MÜSLÜM YARDIMCI,3301,239,295,327,294,304,7,9,10,9,9
SAİM KERESTECİ,1740,236,230,225,215,213,14,13,13,12,12
ERKUT KOCA,2939,236,281,253,250,303,8,10,9,9,10
RACİ ATLI,3086,229,277,281,296,290,7,9,9,10,9
CENK ŞAMLI,2083,222,223,231,214,237,11,11,11,10,11
CUDİ ÖZKAN,2163,217,236,195,188,209,10,11,9,9,10
TUNCAY PELEN,1867,216,199,196,210,180,12,11,10,11,10
ULVİ YOĞURTCU,2408,215,209,219,224,259,9,9,9,9,11
HAKKI TARIK DİKENCİK,2421,211,202,251,234,254,9,8,10,10,10
TEZCAN TAŞAR,1469,202,187,184,188,169,14,13,13,13,12
NESİH CAMUZ,1849,194,182,163,176,159,10,10,9,10,9
MEHMET KARACA,3294,193,218,245,256,287,6,7,7,8,9
UĞUR KARAKOCA,1266,192,174,150,124,115,15,14,12,10,9
MAHMUT YARDIMCI,2143,188,214,226,197,224,9,10,11,9,10
