JokeyAdi,KosuAdet,derece1,derece2,derece3,derece4,derece5,derece1yuzde,derece2yuzde,derece3yuzde,derece4yuzde,derece5yuzde
HALİS KARATAŞ,26673,7236,5110,3962,3022,2229,27,19,15,11,8
MEHMET KAYA,25384,3888,3642,3304,3092,2750,15,14,13,12,11
SÜLEYMAN AKDI,13136,3625,2508,1838,1443,977,28,19,14,11,7
AHMET ÇELİK,19007,3413,3006,2758,2391,1923,18,16,15,13,10
GÖKHAN KOCAKAYA,18016,3352,2827,2543,2243,1933,19,16,14,12,11
ÖZCAN YILDIRIM,19833,3287,2887,2549,2287,1724,17,15,13,12,9
SELİM KAYA,14400,3113,2496,1939,1565,1255,22,17,13,11,9
SADETTİN BOYRAZ,21380,2849,2799,2633,2470,1951,13,13,12,12,9
AKIN SÖZEN,20979,2822,2788,2719,2566,2391,13,13,13,12,11
AKIN ÖZDENİZ,11818,2128,1993,1662,1474,1005,18,17,14,12,9
MUSTAFA ÇİÇEK,13755,2116,2001,1882,1729,1478,15,15,14,13,11
AYHAN KURŞUN,15216,2101,1836,1927,1871,1681,14,12,13,12,11
AHMET ATCI,13769,2078,2273,2122,1938,1503,15,17,15,14,11
ABDULKADİR ALTINÖZ,10408,2006,1864,1540,1350,1070,19,18,15,13,10
FERİT YARDIMCI,12801,1976,1480,1350,1242,1138,15,12,11,10,9
FUAT ÇAKAR,12829,1974,1766,1646,1438,1172,15,14,13,11,9
KADİR TOKAÇOĞLU,12893,1854,1632,1511,1249,1077,14,13,12,10,8
ERHAN YAVUZ,12290,1575,1531,1426,1321,1181,13,12,12,11,10
NEVZAT AVCİ,11375,1573,1481,1446,1296,1266,14,13,13,11,11
ÖMER KAYA,12891,1570,1527,1472,1415,1283,12,12,11,11,10
GÖKHAN GÖKÇE,14484,1505,1588,1575,1629,1565,10,11,11,11,11
HIŞMAN ÇİZİK,11093,1438,1400,1441,1340,1206,13,13,13,12,11
NECMİ ALTIN,10966,1371,1344,1268,1137,1132,13,12,12,10,10
TUNAY ADIŞEN,9788,1355,1457,1448,1287,1087,14,15,15,13,11
VEDAT ABİŞ,6401,1296,1048,878,874,686,20,16,14,14,11
MURAT GÜNDÜZELİ,9908,1270,1111,1036,1005,898,13,11,10,10,9
MEHMET AKYAVUZ,10255,1239,1228,1228,1243,1125,12,12,12,12,11
YALÇIN AKAĞAÇ,10588,1236,1293,1317,1164,1048,12,12,12,11,10
SEDAT OKUMUŞ,5916,1164,1058,882,688,711,20,18,15,12,12
TOLGA YILDIZ,9768,1123,1080,1046,1015,989,11,11,11,10,10
ARSLAN BİRDAL,9368,1103,962,971,995,924,12,10,10,11,10
MUHAMMED MİR BİLGİN,7120,1057,933,865,826,748,15,13,12,12,11
ERTUL CANKILIÇ,8483,1020,1040,1059,1011,780,12,12,12,12,9
KAZIM YILDIZ,5761,1018,854,843,745,718,18,15,15,13,12
UĞUR POLAT,6882,1006,981,918,841,676,15,14,13,12,10
HALİL KAYA,6519,947,875,912,842,702,15,13,14,13,11
İSA AKYAVUZ,6228,938,824,701,682,602,15,13,11,11,10
ENGİN YALÇIN,7191,898,911,911,835,778,12,13,13,12,11
MEHMET SALİH ÇELİK,5455,870,782,748,605,632,16,14,14,11,12
İBRAHİM HALİL KETME,11524,846,1054,1101,1235,1150,7,9,10,11,10
MERTCAN ÇELİK,6723,831,891,803,831,755,12,13,12,12,11
AYGUT ARICI,5979,824,913,954,844,656,14,15,16,14,11
RASİM TETİK,6409,824,804,815,800,674,13,13,13,12,11
BARIŞ KURDU,7112,812,774,745,757,733,11,11,10,11,10
GÖKHAN YILDIZ,11797,791,937,1027,1153,1337,7,8,9,10,11
SİNAN ÖZEN,8829,765,914,977,951,975,9,10,11,11,11
ALİ YILDIZ,5811,763,720,677,665,624,13,12,12,11,11
YAŞAR ATÇI,5131,742,811,739,714,636,14,16,14,14,12
CAFER GÜVEN,5413,715,773,755,669,519,13,14,14,12,10
MÜCAHİT BAYIR,6890,689,728,755,772,740,10,11,11,11,11
BEKİR GÖKÇE,7210,769,772,814,821,744,11,11,11,11,10
SAİM HARMANBAŞI,4336,660,681,642,565,562,15,16,15,13,13
BAHRİ KONUK,4930,527,585,627,645,514,11,12,13,13,10
BEKİR MERT MIRIK,4317,474,436,512,440,471,11,10,12,10,11
MEHMET BAYRAM,4415,469,526,569,581,505,11,12,13,13,11
BURHAN KILINÇ,3265,310,332,342,318,368,9,10,10,10,11
BURAK BEKTAŞ,3506,306,355,399,359,368,9,10,11,10,10
MAHSUN DEMİRBAŞ,2870,302,275,275,283,289,11,10,10,10,10
MÜSLÜM BAYDAN,3382,301,380,366,374,410,9,11,11,11,12
FATİH RÜSTEM BEBEK,4598,301,412,463,453,494,7,9,10,10,11
RESUL ALTINBAŞ,2428,290,322,350,306,236,12,13,14,13,10
GÖKHAN BEKTAŞ,4822,286,290,348,402,377,6,6,7,8,8
BORA SERİNKAYA,4373,269,293,362,374,375,6,7,8,9,9
YÜCEL BİLİK,3527,265,257,263,285,342,8,7,7,8,10
RAMAZAN ALTUNBAŞ,2945,232,233,279,289,297,8,8,9,10,10
MESUT AKBULUT,3377,229,258,310,306,358,7,8,9,9,11
MUSTAFA KEMAL KUMBASAR,2839,207,231,240,280,322,7,8,8,10,11
BURAK AVERBAK,3147,206,217,277,299,307,7,7,9,10,10
MEHMET SALİH BADIŞOĞLU,1750,204,179,188,178,190,12,10,11,10,11
BURAK AKÇAY,2364,192,204,212,220,228,8,9,9,9,10
MEHMET ALTUNBAŞ,2899,187,201,256,261,292,6,7,9,9,10
TAYLAN BAĞCI,3433,179,201,221,266,308,5,6,6,8,9
AHMET HASAN BAYAR,2104,177,200,212,180,214,8,10,10,9,10
FESİH ÇETİNBAŞ,2353,177,211,246,242,281,8,9,10,10,12
İSA BOLAT,1632,162,187,212,230,223,10,11,13,14,14
ENES BOZDAĞ,1659,162,167,142,180,159,10,10,9,11,10
YUNUS ÇELİKBAŞ,2721,160,215,212,207,238,6,8,8,8,9
İBRAHİM SEFA SÖĞÜT,2277,159,181,177,237,237,7,8,8,10,10
HALİL İBRAHİM AKKAYA,2165,157,163,200,201,178,7,8,9,9,8
