tarih,sehir,urun,seq,tip,race_kodlar,kombo,tl,beraberlik
2021-01-01,IZMIR,3,1,odendi,182163/182153/182164,3/3/2,16.45,0
2021-01-01,IZMIR,6,1,odendi,182153/182164/182165/182161/182154/182166,"3/2/3/2/2,6/3,8",29.54,1
2021-01-01,IZMIR,5,1,odendi,182164/182165/182161/182154/182166,"2/3/2/2,6/3,8",6.0,1
2021-01-01,IZMIR,4,1,odendi,182165/182161/182154/182166,"3/2/2,6/3,8",1.89,1
2021-01-01,IZMIR,3,2,odendi,182161/182154/182166,"2/2,6/3,8",1.17,1
2021-01-01,KOCAELI,4,1,odendi,182169/182158/182159/182155,1/4/2/1,73.2,0
2021-01-01,KOCAELI,3,1,odendi,182158/182159/182155,4/2/1,17.58,0
2021-01-01,KOCAELI,6,1,odendi,182159/182155/182162/182160/182156/182168,2/1/6/6/2/12,198.1,0
2021-01-01,KOCAELI,5,1,odendi,182155/182162/182160/182156/182168,1/6/6/2/12,14.01,0
2021-01-01,KOCAELI,4,2,odendi,182162/182160/182156/182168,6/6/2/12,9.8,0
2021-01-01,KOCAELI,3,2,odendi,182160/182156/182168,6/2/12,10.56,0
2021-01-02,ADANA,6,1,odendi,182190/182171/182188/182199/182194/182172,5/3/5/1/9/6,2861.52,0
2021-01-02,ADANA,5,1,odendi,182171/182188/182199/182194/182172,3/5/1/9/6,195.28,0
2021-01-02,ADANA,4,1,odendi,182188/182199/182194/182172,5/1/9/6,164.85,0
2021-01-02,ADANA,3,1,odendi,182199/182194/182172,1/9/6,166.11,0
2021-01-02,ADANA,6,2,odendi,182194/182172/182200/182193/182173/182198,"9/6/9,10/9/10/2,5",12669.99,1
2021-01-02,ADANA,5,2,odendi,182172/182200/182193/182173/182198,"6/9,10/9/10/2,5",423.41,1
2021-01-02,ADANA,4,2,odendi,182200/182193/182173/182198,"9,10/9/10/2,5",341.64,1
2021-01-02,ADANA,3,2,odendi,182193/182173/182198,"9/10/2,5",74.9,1
2021-01-02,ISTANBUL,3,1,odendi,182186/182195/182182,"2/3/1,8",1.8,1
2021-01-02,ISTANBUL,6,1,odendi,182195/182182/182192/182197/182196/182189,"3/1,8/1/8/5/9",323.59,1
2021-01-02,ISTANBUL,5,1,odendi,182182/182192/182197/182196/182189,"1,8/1/8/5/9",86.27,1
