tarih,sehir,sehir_id,kosu_no,kosu_sira,kazanan_mi,at_id,at_yas,kilo,jokey_id,sahip_id,antrenor_id,derece,ganyan_orani,ganyan,bitis,kazandi,at_isim,start_no,kilo_baz,kilo_fazla,kilo_top,yas,renk,cins,zaman_sn,tarih_dt,tarih_iso,race_id,izinli,isim_norm,irk
04/10/2024,Bursa,4,1,1,1,MİR BABA(5) KG Kapalı gözlük takılacağını ifade eder. K Kulaklık takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder.,2y k e,54 +0.40 Fazla Kilo,C.PASO AP Apranti,MEHMET ALTIN,E.TURAN,1.32.97,3.75,3.75,1.0,1,MİR BABA,5,54.0,0.4,54.4,2,k,e,92.97,2024-10-04,2024-10-04,2024-10-04|Bursa|1,True,MİR BABA,
04/10/2024,Bursa,4,1,2,0,LOST IN PARADISE(7) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder.,2y d d,55,O.ATMACA,ENDER COŞGUNSU,M.TEKPETEK,1.33.34,2.9,2.9,2.0,0,LOST IN PARADISE,7,55.0,0.0,55.0,2,d,d,93.34,2024-10-04,2024-10-04,2024-10-04|Bursa|1,True,LOST IN PARADISE,
04/10/2024,Bursa,4,1,3,0,MİHRİAY(8) KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,2y d d,55 +0.90 Fazla Kilo,MER.ÇELİK,REŞAT ÖZ,M.E.AVCI,1.33.79,10.3,10.3,3.0,0,MİHRİAY,8,55.0,0.9,55.9,2,d,d,93.79,2024-10-04,2024-10-04,2024-10-04|Bursa|1,True,MİHRİAY,
04/10/2024,Bursa,4,1,4,0,BIÇKIDERELİ EGE(2) DB Dilinin bağlanacağını ifade eder. SKG Ring mahalinden starta kadar kapalı gözlük ile geleceğini ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,2y d e,57 +0.50 Fazla Kilo,MAH.TURAN,EROL ÇOKLAR,HÜS.KARABULUT,1.33.80,3.5,3.5,4.0,0,BIÇKIDERELİ EGE,2,57.0,0.5,57.5,2,d,e,93.8,2024-10-04,2024-10-04,2024-10-04|Bursa|1,True,BIÇKIDERELİ EGE,
04/10/2024,Bursa,4,1,5,0,KRAL SERHAT(1) DB Dilinin bağlanacağını ifade eder. SKG Ring mahalinden starta kadar kapalı gözlük ile geleceğini ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,2y d e,59,C.ALTUN AP Apranti,YALÇIN TÜRE,MEH.KAYA,1.33.95,4.4,4.4,5.0,0,KRAL SERHAT,1,59.0,0.0,59.0,2,d,e,93.95,2024-10-04,2024-10-04,2024-10-04|Bursa|1,True,KRAL SERHAT,
04/10/2024,Bursa,4,1,6,0,LUCKY VICTORY(4) DB Dilinin bağlanacağını ifade eder. SKG Ring mahalinden starta kadar kapalı gözlük ile geleceğini ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder. SGKR Ring mahalinden starta Kadar göz koruyucu ile gideceğini ifade eder.,2y d e,57,A.İNCİ,M.ÖNDER ÜLGENALP,V.AKBAŞ,1.34.65,24.9,24.9,6.0,0,LUCKY VICTORY,4,57.0,0.0,57.0,2,d,e,94.65,2024-10-04,2024-10-04,2024-10-04|Bursa|1,True,LUCKY VICTORY,
04/10/2024,Bursa,4,1,7,0,DEDE HASAN(3) DB Dilinin bağlanacağını ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder.,2y d e,57 +0.10 Fazla Kilo,G.YILDIZ,SEDEF VARDAR,R.COŞKUN,1.36.74,20.3,20.3,7.0,0,DEDE HASAN,3,57.0,0.1,57.1,2,d,e,96.74,2024-10-04,2024-10-04,2024-10-04|Bursa|1,True,DEDE HASAN,
04/10/2024,Bursa,4,1,8,0,MURFAT IMPOSTER(6) SKG Ring mahalinden starta kadar kapalı gözlük ile geleceğini ifade eder. SK Ring mahalinden starta kadar kulaklık ile geleceğini ifade eder. SGKR Ring mahalinden starta Kadar göz koruyucu ile gideceğini ifade eder.,2y d e,53,E.KADİRLER AP Apranti,M.SAİT TOKDEMİR,S.AKCI,1.36.82,36.35,36.35,8.0,0,MURFAT IMPOSTER,6,53.0,0.0,53.0,2,d,e,96.82,2024-10-04,2024-10-04,2024-10-04|Bursa|1,True,MURFAT IMPOSTER,
04/10/2024,Bursa,4,2,1,1,"HİNDİKUŞ(2) t 360.000,00 TL KG Kapalı gözlük takılacağını ifade eder.",4y k a,58 +0.10 Fazla Kilo,K.TOKAÇOĞLU,GAMZE YILDIZHAN,V.AKBULUT,2.08.32,1.25,1.25,1.0,1,HİNDİKUŞ,2,58.0,0.1,58.1,4,k,a,128.32,2024-10-04,2024-10-04,2024-10-04|Bursa|2,True,HİNDİKUŞ,
04/10/2024,Bursa,4,2,2,0,"BİTİRİM PRENSES(10) t 260.000,00 TL K Kulaklık takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder.",4y k k,50 +1.30 Fazla Kilo,S.TIRPAN,TARKAN ÇITAKOĞLU,B.AY,2.08.74,61.75,61.75,2.0,0,BİTİRİM PRENSES,10,50.0,1.3,51.3,4,k,k,128.74,2024-10-04,2024-10-04,2024-10-04|Bursa|2,True,BİTİRİM PRENSES,
04/10/2024,Bursa,4,2,3,0,"PONÇİKTAY(4) t 360.000,00 TL KG Kapalı gözlük takılacağını ifade eder. DB Dilinin bağlanacağını ifade eder.",4y a k,56,C.PASO AP Apranti,EKREM BİRDEN,T.KIYAS,2.08.83,31.0,31.0,3.0,0,PONÇİKTAY,4,56.0,0.0,56.0,4,a,k,128.83,2024-10-04,2024-10-04,2024-10-04|Bursa|2,True,PONÇİKTAY,
