yaris_id,tarih_dt,sehir,pist,mesafe,ikramiye,kosu_grubu,kosu_cinsi,hipodrom,zemin,yas_kategori,ikramiye_tl,kosu_sira,tarih
349913375,2024-07-01,Bursa,Kum,1200,217000.0,2 Yaşlı İngilizler,Maiden /TR,Bursa,Kum,2 Yaşlı İngilizler,217000.0,0,2024-07-01
931781963,2024-07-01,Bursa,Çim,1500,192000.0,3 Yaşlı İngilizler,ŞARTLI 4 /,Bursa,Çim,3 Yaşlı İngilizler,192000.0,0,2024-07-01
389731122,2024-07-01,Bursa,Çim,2000,192000.0,3 Yaşlı İngilizler,Handikap 15 /H2,Bursa,Çim,3 Yaşlı İngilizler,192000.0,0,2024-07-01
999044248,2024-07-01,Bursa,Çim,1300,240000.0,3 ve Yukarı İngilizler,ŞARTLI 5 /D,Bursa,Çim,3 ve Yukarı İngilizler,240000.0,0,2024-07-01
254278620,2024-07-01,Bursa,Çim,1500,240000.0,3 ve Yukarı İngilizler,Handikap 16 /H2/Y-2,Bursa,Çim,3 ve Yukarı İngilizler,240000.0,0,2024-07-01
859932260,2024-07-01,Bursa,Kum,1300,192000.0,3 Yaşlı Araplar,ŞARTLI 4 /DHÖ,Bursa,Kum,3 Yaşlı Araplar,192000.0,0,2024-07-01
12559287,2024-07-01,Bursa,Çim,1400,192000.0,4 Yaşlı Araplar,ŞARTLI 4 /DHÖW,Bursa,Çim,4 Yaşlı Araplar,192000.0,0,2024-07-01
358465670,2024-07-01,Bursa,Çim,2400,192000.0,4 ve Yukarı Araplar,ŞARTLI 4 /DHÖW,Bursa,Çim,4 ve Yukarı Araplar,192000.0,0,2024-07-01
343459086,2024-07-01,Bursa,Çim,1800,163000.0,4 ve Yukarı Araplar,Handikap 14 /DHÖ/H2/D,Bursa,Çim,4 ve Yukarı Araplar,163000.0,0,2024-07-01
698108080,2024-07-01,Elazığ,Kum,1600,88000.0,3 Yaşlı İngilizler,ŞARTLI 2 /,Elazığ,Kum,3 Yaşlı İngilizler,88000.0,0,2024-07-01
250779347,2024-07-01,Elazığ,Kum,1200,175000.0,3 Yaşlı İngilizler,Handikap 16 /H3,Elazığ,Kum,3 Yaşlı İngilizler,175000.0,0,2024-07-01
609530925,2024-07-01,Elazığ,Kum,2000,114500.0,3 ve Yukarı İngilizler,Handikap 14 /H3,Elazığ,Kum,3 ve Yukarı İngilizler,114500.0,0,2024-07-01
908689510,2024-07-01,Elazığ,Kum,1200,160000.0,3 Yaşlı Araplar,Maiden /DHÖW/D,Elazığ,Kum,3 Yaşlı Araplar,160000.0,0,2024-07-01
646702430,2024-07-01,Elazığ,Kum,1700,114500.0,4 Yaşlı Araplar,Handikap 14 /DHÖW/H3,Elazığ,Kum,4 Yaşlı Araplar,114500.0,0,2024-07-01
774849605,2024-07-01,Elazığ,Kum,2000,140000.0,4 ve Yukarı Araplar,ŞARTLI 4 /DHÖ/D,Elazığ,Kum,4 ve Yukarı Araplar,140000.0,0,2024-07-01
276825788,2024-07-01,Elazığ,Kum,1900,114500.0,4 ve Yukarı Araplar,Handikap 14 /DHÖW/H3,Elazığ,Kum,4 ve Yukarı Araplar,114500.0,0,2024-07-01
984571227,2024-07-02,Ankara,Kum,1200,240000.0,2 Yaşlı İngilizler,Maiden /,Ankara,Kum,2 Yaşlı İngilizler,240000.0,0,2024-07-02
