tarih,sehir,leg1,leg2,leg3,leg4,leg5,leg6,leg7,t7_div,t7_devir,kombo,bas_kosu
30/01/2026,ANTALYA,222834,222843,222833,222842,222840,222839,222844,57799.1,,"8/8/6/6/3,5,6/8/13,18",1
30/01/2026,IZMIR,222838,222846,222845,222835,222837,222841,222847,1275123.3,,6/6/3/1/3/3/12,2
31/01/2026,ADANA,222854,222858,222856,222853,222852,222857,222850,7365.1,,"5/3,4/5,6,7/4/10/3/5,6",3
31/01/2026,ISTANBUL,222864,222865,222866,222863,222860,222849,222862,1299699.5,,4/7/11/3/4/8/2,3
01/02/2026,ADANA,222867,222878,222877,222868,222875,222879,222881,18040.3,,"7/5/3/1,6/6/3/2",2
01/02/2026,IZMIR,222872,222883,222870,222882,222873,222871,222880,78295.1,,"2/1/1/6/1,4/4/9",2
02/02/2026,BURSA,222894,222884,222899,222897,222898,222885,222896,,936555.2,"2/1,7/11/12/1,5/3/1,5,10",2
02/02/2026,SANLIURFA,222889,222891,222886,222892,222893,222888,222890,,691034.4,"7/1/3/1/4/10/5,7",2
03/02/2026,ADANA,222912,222910,222900,222914,222909,222911,222913,636282.9,,2/3/3/5/5/2/7,2
03/02/2026,ANTALYA,222904,222908,222906,222902,222907,222905,222916,433287.0,,1/7/1/1/8/3/3,2
04/02/2026,ISTANBUL,222917,222929,222918,222923,222921,222922,222925,134021.2,,"3,4/2/2/8/3/3/7",2
04/02/2026,SANLIURFA,222920,222930,222931,222924,222926,222919,222928,1987224.9,,"5/5,9/14/1/12/1/2",1
05/02/2026,ANTALYA,222945,222937,222932,222938,222941,222933,222942,45552.3,,"3/3/3,7/1,2,3/7/6/5,7",2
07/02/2026,ADANA,223001,223002,222991,222999,223000,222990,223003,11583.0,,"1,4/5/4/1/5/1/8",2
07/02/2026,ISTANBUL,222995,222997,222988,222996,222993,222989,222992,1304820.0,,2/10/5/4/9/11/3,2
08/02/2026,ADANA,223011,223014,223013,223016,223015,223004,223018,1331.8,,4/1/2/1/1/9/7,2
08/02/2026,IZMIR,223008,223019,223007,223009,223017,223012,223006,1828.4,,3/8/8/5/2/1/9,2
09/02/2026,BURSA,223026,223028,223022,223030,223025,223024,223031,151086.2,,7/7/2/9/6/8/13,3
09/02/2026,SANLIURFA,223021,223027,223033,223034,223035,223020,223036,,416487.5,"1/5/8/6/3,11/10/10",2
10/02/2026,ADANA,223048,223037,223047,223046,223050,223049,223045,,787488.9,6/1/11/1/5/6/4,2
11/02/2026,ISTANBUL,223059,223062,223064,223060,223063,223058,223061,5550.6,,3/4/9/1/1/2/1,1
11/02/2026,SANLIURFA,223053,223051,223057,223056,223054,223052,223055,,1056234.3,"4/3/6,8/7/1/3/5",1
12/02/2026,ANTALYA,223088,223070,223096,223086,223089,223068,223093,310068.3,,"3/1,8/2/1/2/2/7",3
13/02/2026,ANTALYA,223123,223135,223125,223133,223138,223124,223131,773084.4,,"10/7/6/3/2,11/11/8",2
14/02/2026,ADANA,223151,223164,223161,223163,223162,223154,223149,302816.9,,"3/6/4/3/6/5/3,7,9,10,11",3
14/02/2026,ISTANBUL,223153,223147,223152,223160,223155,223148,223158,7928.8,,3/5/9/1/3/7/10,2
15/02/2026,ADANA,223166,223178,223165,223179,223174,223180,223176,123823.5,,6/6/5/1/4/1/6,2
15/02/2026,IZMIR,223168,223173,223167,223169,223181,223175,223172,,1018360.2,"10/5,8/4/3/5/5/1",2
16/02/2026,BURSA,223191,223193,223183,223194,223189,223182,223195,555822.8,,"2/1/4/1,6/2/3,4/12",1
16/02/2026,SANLIURFA,223188,223185,223192,223190,223186,223187,223184,,2274932.0,3/5/11/8/3/1/8,1
17/02/2026,ADANA,223208,223203,223209,223204,223206,223207,223210,3569.1,,"4/3/5/3/1,4/1/3",2
17/02/2026,ANTALYA,223197,223200,223201,223202,223198,223196,223199,54484.0,,"5/4/3/1,6/4/5/1",1
18/02/2026,ISTANBUL,223221,223226,223223,223225,223219,223213,223227,7628.8,,4/6/5/2/2/2/2,2
18/02/2026,SANLIURFA,223224,223220,223222,223218,223216,223214,223217,815274.0,,8/6/3/9/3/1/3,2
19/02/2026,IZMIR,223237,223228,223242,223231,223240,223230,223235,80358.6,,2/3/8/1/1/5/13,3
20/02/2026,BURSA,223266,223268,223271,223260,223267,223259,223269,,739284.7,3/9/14/10/1/4/9,1
20/02/2026,IZMIR,223272,223270,223263,223274,223265,223264,223273,108930.9,,1/11/9/6/6/2/4,2
21/02/2026,ADANA,223278,223284,223279,223283,223280,223281,223282,54351.1,,7/1/3/7/6/3/7,1
21/02/2026,ISTANBUL,223285,223289,223277,223290,223286,223287,223276,315585.6,,1/9/3/3/2/7/13,3
22/02/2026,ADANA,223310,223309,223313,223312,223311,223301,223314,119820.4,,"5/2/6/8/1/1,2,7/8,16",2
22/02/2026,IZMIR,223302,223303,223306,223304,223307,223299,223308,17753.2,,1/2/1/2/5/3/11,2
23/02/2026,BURSA,223325,223324,223316,223321,223323,223315,223322,65129.9,,"1/6/2,3/5/7/1/4",2
23/02/2026,SANLIURFA,223326,223317,223327,223329,223330,223319,223328,,477242.7,7/2/4/6/16/9/16,2
24/02/2026,ADANA,223343,223347,223332,223344,223345,223346,223331,381251.2,,2/2/12/1/7/3/5,2
24/02/2026,ANTALYA,223338,223339,223335,223340,223336,223341,223333,,870966.8,2/7/1/6/5/5/3,3
25/02/2026,ISTANBUL,223353,223355,223357,223352,223356,223354,223359,20547.6,,1/6/2/3/4/3/5,2
25/02/2026,SANLIURFA,223349,223360,223361,223363,223364,223350,223358,315603.5,,"6/6/6,11/7,11/1/1/1",2
26/02/2026,ANTALYA,223365,223371,223377,223370,223369,223366,223373,331566.0,,7/7/6/3/3/1/2,2
26/02/2026,IZMIR,223378,223376,223372,223380,223374,223367,223379,806.2,,"3/7/4,7/1/3/4,5/2,5",2
27/02/2026,ANTALYA,223390,223396,223398,223401,223400,223389,223402,14300.0,,1/4/2/5/7/1/3,2
28/02/2026,ADANA,223403,223414,223417,223415,223416,223419,223404,101099.2,,4/6/8/2/6/7/1,2
28/02/2026,ISTANBUL,223412,223411,223406,223408,223410,223413,223405,56044.9,,"1/6/3,5/1/2/4/7",3
01/03/2026,ADANA,223422,223424,223423,223427,223425,223426,223428,59265.4,,"3/1,3/11/6/7/5/6",2
01/03/2026,IZMIR,223429,223421,223433,223432,223434,223420,223435,57330.5,,"1/12/4/4/3/9/5,6,12",2
02/03/2026,BURSA,223436,223441,223444,223440,223442,223437,223443,29653.8,,5/12/10/2/5/8/9,1
02/03/2026,SANLIURFA,223450,223445,223438,223449,223446,223448,223447,,508874.3,"7/8/4/8/4/1/4,11",2
03/03/2026,ADANA,223464,223462,223460,223463,223465,223453,223461,17605.1,,"1,4/8/4/2/5/1/4",2
03/03/2026,ANTALYA,223455,223451,223459,223458,223457,223452,223456,1292187.6,,4/6/10/5/4/2/11,1
04/03/2026,ISTANBUL,223470,223467,223475,223472,223474,223471,223473,825887.7,,3/1/6/6/1/4/4,2
04/03/2026,SANLIURFA,223468,223481,223480,223469,223479,223477,223478,,892829.3,1/1/5/9/11/6/2,2
05/03/2026,ANTALYA,223484,223502,223485,223503,223500,223497,223507,130904.1,,"10/3/1,6/4/5/1/8",2
05/03/2026,IZMIR,223501,223506,223508,223494,223495,223483,223496,6489.2,,1/1/1/1/2/5/6,3
06/03/2026,BURSA,223523,223527,223528,223524,223522,223525,223529,,1007862.9,1/1/2/6/1/2/8,1
06/03/2026,IZMIR,223516,223526,223520,223517,223521,223518,223519,158867.3,,"5/6/1,4/6/4/7/4",1
07/03/2026,ADANA,223533,223541,223543,223542,223540,223532,223544,,599989.5,1/6/2/1/1/5/6,2
07/03/2026,ISTANBUL,223537,223530,223538,223534,223536,223531,223535,,949969.9,1/8/8/6/5/7/11,2
08/03/2026,ADANA,223562,223548,223560,223559,223556,223555,223547,,1284247.8,7/2/7/5/9/3/4,3
08/03/2026,IZMIR,223549,223551,223552,223557,223553,223561,223554,106772.0,,"2/9/5/8/5/3/2,4",2
